,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
85,Watch Me (Whip / Nae Nae),Silentó,1CvhKmrutTAta5awpJcFDn,['pinoy hip hop'],2016,1,0.234,0.819,185131,0.768,0.0,8,0.334,-8.522,1,0.134,139.982,4,0.964
86,Back To Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",2016,1,0.0424,0.647,201253,0.646,0.0,9,0.0888,-5.483,0,0.243,92.981,4,0.721
87,No Limit,Usher,4DRDMf5vftalExCy0fHbHl,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",2016,1,0.0794,0.717,228905,0.516,0.0,10,0.164,-6.466,0,0.0601,127.026,4,0.258
88,Cut It (feat. Young Dolph),O.T. Genasis,376KnY4TrgBITxjlnbnmIy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",2016,1,0.135,0.875,222600,0.673,0.0,7,0.292,-4.184,1,0.0932,130.0,4,0.231
89,Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.00427,0.762,232093,0.666,0.0,0,0.127,-6.055,1,0.0916,118.97,4,0.278
90,All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,7nD9nN3jord9wWcfW3Gkcm,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",2016,1,0.023,0.689,210573,0.791,0.0,0,0.0526,-5.194,0,0.053,95.04,4,0.755
91,Starving,Hailee Steinfeld,2zDt2TfQbxiSPjTVJTgbwz,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.409,0.724,181880,0.628,0.0,4,0.105,-4.219,1,0.0962,99.898,4,0.524
92,Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,"['permanent wave', 'pop']",2016,1,0.00205,0.638,263787,0.924,0.000173,7,0.149,-3.887,1,0.0359,111.995,4,0.529
93,Humble And Kind,Tim McGraw,1qosWrKxri24ZIzH4ZDFcp,"['contemporary country', 'country', 'country road']",2016,1,0.675,0.476,257347,0.48,2.45e-06,11,0.122,-7.31,1,0.026,151.478,3,0.148
94,Wicked,Future,6BbINUfGabVyiNFJpQXn3x,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.00191,0.718,173347,0.679,0.0104,11,0.385,-5.899,0,0.0706,157.97,4,0.205
95,Tiimmy Turner,Desiigner,0zMxL4BTjSqCsUtfdlcL8G,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",2016,1,0.168,0.602,239853,0.723,0.0,6,0.0781,-3.021,1,0.0405,122.812,4,0.293
96,See You Again (feat. Charlie Puth),Wiz Khalifa,7wqSzGeodspE3V6RBD5W8L,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.369,0.689,229526,0.481,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,0.283
97,Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",2016,1,0.0598,0.647,230333,0.823,0.0,2,0.119,-5.231,1,0.0762,99.933,4,0.396
98,Shape of You,Ed Sheeran,0FE9t6xYkqWXU2ahLh6D8X,"['pop', 'uk pop']",2017,1,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
99,Despacito - Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cLb,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",2017,1,0.229,0.694,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,0.813
100,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,"['pop', 'post-teen pop']",2017,1,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
101,HUMBLE.,Kendrick Lamar,7ujx3NYtwO2LkmKGz59mXp,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017,1,0.000243,0.906,177000,0.625,3.23e-05,1,0.0975,-6.779,0,0.0903,150.018,4,0.423
102,Something Just Like This,The Chainsmokers,1dNIEtp7AY3oDAKCGg2XkH,"['electropop', 'pop', 'tropical house']",2017,1,0.0306,0.607,247627,0.649,2.46e-05,11,0.174,-6.695,0,0.0362,102.996,4,0.505
103,Bad and Boujee (feat. Lil Uzi Vert),Migos,1FvU97lrWOG2NRxErh6OZz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2017,1,0.0633,0.897,334467,0.661,0.0,8,0.116,-6.2,0,0.27,127.081,4,0.193
104,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",2017,1,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
105,Body Like A Back Road,Sam Hunt,1W0z9ZFfzkpvAQ23Sd7Cti,"['contemporary country', 'country pop']",2017,1,0.484,0.731,165387,0.466,1.42e-06,5,0.105,-7.219,1,0.0327,98.959,4,0.653
106,Believer,Imagine Dragons,0CcQNd8CINkwQfe1RDtGV6,"['modern rock', 'rock']",2017,1,0.0524,0.779,204347,0.787,0.0,10,0.14,-4.305,0,0.108,124.982,4,0.708
107,Congratulations,Post Malone,6syOdAs4IK8kPWR7gDyjRw,"['dfw rap', 'melodic rap', 'rap']",2017,1,0.199,0.629,220293,0.817,0.0,6,0.317,-4.261,1,0.0357,123.087,4,0.466
108,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,"['pop', 'post-teen pop', 'talent show', 'uk pop']",2017,1,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
109,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,3DXncPQOG4VBw3QHh3S817,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2017,1,0.0552,0.609,288600,0.668,0.0,7,0.167,-4.284,1,0.0367,80.924,4,0.811
110,XO TOUR Llif3,Lil Uzi Vert,2eMwDehkIC1j68U6FA3Eiq,"['melodic rap', 'philly rap', 'rap']",2017,1,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
111,Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281
112,Unforgettable,French Montana,3B54sVLJ402zGa6Xm4YGNe,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
113,24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,"['pop', 'post-teen pop']",2017,1,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
114,Stay (with Alessia Cara),Zedd,0dA2Mk56wEzDgegdC6R17g,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",2017,1,0.232,0.679,210091,0.634,0.0,5,0.115,-5.024,0,0.0654,102.013,4,0.498
115,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2017,1,0.0329,0.671,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632
116,Black Beatles,Rae Sremmurd,21xJVN5wEbJogczYxfZhqR,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.158,0.794,291893,0.647,0.0,0,0.139,-6.232,1,0.0628,145.945,4,0.345
117,Starboy,The Weeknd,5aAx2yezTd8zXrkmtKl66Z,"['canadian contemporary r&b', 'canadian pop', 'pop']",2017,1,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
118,Location,Khalid,1WIfWj5skn5UUZTs4cEFBe,"['alternative r&b', 'pop']",2017,1,0.283,0.799,217566,0.436,0.000105,1,0.0968,-9.975,0,0.379,80.028,4,0.311
119,Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2017,1,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777
120,There's Nothing Holdin' Me Back,Shawn Mendes,79cuOz3SPQTuFrp8WgftAu,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2017,1,0.381,0.857,199440,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.996,4,0.966
121,Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,"['pop', 'pop rap', 'rap']",2017,1,0.0672,0.929,223962,0.723,0.0,11,0.346,-5.792,0,0.109,125.022,4,0.458
122,Redbone,Childish Gambino,2Uvy6SkNqxvnH1W68dymxG,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",2017,1,0.192,0.745,326933,0.359,0.00628,1,0.138,-10.429,1,0.112,160.123,4,0.55
123,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3NdDpSvN911VPGivFlV5d0,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",2017,1,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
124,It Ain't Me (with Selena Gomez),Kygo,3eR23VReFzcdmS7TYCrhCe,"['edm', 'pop', 'tropical house']",2017,1,0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
125,iSpy (feat. Lil Yachty),KYLE,2EEeOnHehOozLq4aS0n6SL,"['pop', 'pop rap', 'rap']",2017,1,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
126,Issues,Julia Michaels,1sXUWdKx03aP9Gmzft58rt,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2017,1,0.368,0.683,176347,0.427,0.0,8,0.0604,-6.827,1,0.0777,113.634,4,0.426
127,Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2017,1,0.0285,0.573,230227,0.739,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451
128,1-800-273-8255,Logic,5aFQU3VPCQ3YGfKBA4tLfj,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",2017,1,0.568,0.627,250173,0.572,1.52e-06,5,0.198,-7.738,0,0.0373,100.041,4,0.361
129,Slow Hands,Niall Horan,167NczpNbRF7oWakJaY3Hh,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0142,0.728,188174,0.426,0.0,0,0.0546,-6.69,1,0.0509,85.908,4,0.844
130,Love On The Brain,Rihanna,26QRPeQOgmIGLCQKgoUJkG,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2017,1,0.0717,0.509,224000,0.637,1.08e-05,4,0.0789,-4.83,0,0.0471,172.006,3,0.378
131,I Feel It Coming,The Weeknd,4RepvCWqsP6zBuzvwYibAS,"['canadian contemporary r&b', 'canadian pop', 'pop']",2017,1,0.429,0.769,269187,0.813,0.0,0,0.0952,-5.9,0,0.143,92.985,4,0.567
132,Bounce Back,Big Sean,0PyWKgNmGiYTFe6MXN5U4K,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.11,0.684,222360,0.549,0.0,9,0.125,-5.695,1,0.248,81.441,4,0.277
133,Strip That Down,Liam Payne,6EpRaXYhGOB3fj4V2uDkMJ,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']",2017,1,0.246,0.869,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,0.527
134,Fake Love,Drake,5o2r7507gCOYdRMeR3noqZ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2017,1,0.105,0.928,210937,0.481,0.0,9,0.176,-9.35,0,0.287,134.007,4,0.613
135,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,2QbFClFyhMMtiurUjuQlAe,"['pop', 'pop rock']",2017,1,0.341,0.775,214265,0.617,0.0,7,0.0985,-6.166,1,0.0701,100.048,4,0.485
136,Look What You Made Me Do,Taylor Swift,6uFsE1JgZ20EXyU0JQZbUR,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.213,0.773,211859,0.68,1.57e-05,9,0.122,-6.378,0,0.141,128.062,4,0.497
137,Castle on the Hill,Ed Sheeran,66qlqxhEMpSHOzjRK4il0b,"['pop', 'uk pop']",2017,1,0.0232,0.461,261154,0.834,1.14e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.471
138,Bad Things (with Camila Cabello),Machine Gun Kelly,6TXglvsCOo7dQrEgRiIdO0,"['pop rap', 'rap']",2017,1,0.206,0.678,239293,0.696,0.0,2,0.164,-4.79,1,0.133,137.822,4,0.254
139,Paris,The Chainsmokers,15vzANxN8G9wWfwAJLLMCg,"['electropop', 'pop', 'tropical house']",2017,1,0.0243,0.646,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251
140,Side To Side,Ariana Grande,4pLwZjInHj3SimIyN9SnOz,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603
141,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",2017,1,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
142,Feel It Still,Portugal. The Man,7FESgYLcOufHqKlwrvJN60,"['indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",2017,1,0.0406,0.78,163251,0.798,6.31e-05,1,0.0733,-5.151,0,0.0613,78.969,4,0.771
143,Let Me Love You,DJ Snake,4pdPtRcBmOSQDlJ3Fk945m,"['dance pop', 'edm', 'electronic trap', 'pop']",2017,1,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
144,Sorry Not Sorry,Demi Lovato,3m660poUr1chesgkkjQM7P,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0214,0.704,203760,0.633,0.0,11,0.29,-6.923,0,0.241,144.021,4,0.863
145,Bank Account,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,"['atl hip hop', 'rap', 'trap']",2017,1,0.0151,0.884,220307,0.346,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
146,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2017,1,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
147,Mi Gente (feat. Beyoncé),J Balvin,7fwXWKdDNI5IutOMc5OKYw,"['latin', 'reggaeton']",2017,1,0.0249,0.705,209733,0.714,0.0,11,0.253,-6.39,0,0.0792,104.996,4,0.434
148,Thunder,Imagine Dragons,0tKcYR2II1VCQWT79i5NrW,"['modern rock', 'rock']",2017,1,0.00683,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,0.298
149,T-Shirt,Migos,7KOlJ92bu51cltsD9KU5I7,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2017,1,0.242,0.865,242407,0.687,0.0,10,0.158,-3.744,0,0.217,139.023,4,0.486
150,Rake It Up,Yo Gotti,4knL4iPxPOZjQzTUlELGSY,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.022,0.91,276333,0.444,0.0,1,0.137,-8.126,0,0.344,149.953,4,0.53
151,Mercy,Shawn Mendes,0Zxswuv5xzIhxDnsKJLq82,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2017,1,0.118,0.561,208733,0.674,0.0,4,0.111,-4.882,0,0.0818,148.127,4,0.383
152,Tunnel Vision,Kodak Black,2BoS7pU92MQtynhQ0cZOLT,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",2017,1,0.0576,0.497,268187,0.489,9.91e-05,11,0.122,-7.724,0,0.294,171.853,4,0.231
153,rockstar,Post Malone,7wGoVu4Dady5GV0Sv4UIsx,"['dfw rap', 'melodic rap', 'rap']",2017,1,0.13,0.577,218320,0.522,9.03e-05,5,0.142,-6.594,0,0.0984,159.772,4,0.119
154,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,"['modern rock', 'rock']",2017,1,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
155,Now Or Never,Halsey,0Nhu3zSYbEz32IYiobV75e,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",2017,1,0.1,0.663,214802,0.575,3.16e-06,6,0.133,-4.907,0,0.0458,110.04,4,0.458
156,Caroline,Aminé,7FB8l7UA1HKqnuSLjP9qDc,"['hip hop', 'pop rap', 'portland hip hop', 'rap']",2017,1,0.174,0.952,209640,0.318,0.0,10,0.205,-10.357,1,0.467,120.077,4,0.665
157,Rolex,Ayo & Teo,0pSBuHjILhNEo55xK1zrRt,"['social media pop', 'trap']",2017,1,0.0837,0.804,238587,0.886,0.0,1,0.266,-2.512,1,0.04,144.946,4,0.789
158,DNA.,Kendrick Lamar,1roxa5NuYKiHtB3PiFHEsx,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017,1,0.00449,0.636,185947,0.516,0.0,1,0.0948,-6.694,1,0.37,139.953,4,0.444
159,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,1lItf5ZXJc1by9SbPeljFd,[],2017,1,0.00381,0.807,144244,0.887,0.0,1,0.391,-3.892,1,0.275,160.517,4,0.78
160,Swang,Rae Sremmurd,4VSVT9njJD3BsXIdCNHOVQ,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.225,0.672,208120,0.326,2.87e-05,8,0.101,-9.36,1,0.0634,140.008,4,0.154
161,Passionfruit,Drake,7hDc8b7IXETo14hHIHdnhd,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2017,1,0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,4,0.364
162,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,7zjRBaNkVjk1vZ8JqxQIXO,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017,1,0.021,0.681,227360,0.523,0.0,9,0.178,-8.963,0,0.0542,110.812,4,0.473
163,Praying,Kesha,0jdny0dhgjUwoIp5GkqEaA,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2017,1,0.491,0.576,230267,0.39,0.0,10,0.111,-7.202,1,0.0297,73.433,4,0.319
164,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,['rap'],2017,1,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
165,Cold (feat. Future),Maroon 5,21TdkDRXuAB3k90ujRU1et,"['pop', 'pop rock']",2017,1,0.118,0.697,234308,0.716,0.0,9,0.0424,-6.288,0,0.113,99.905,4,0.506
166,Broccoli (feat. Lil Yachty),DRAM,4a87wpeqAcOv03pYihEzku,"['pop rap', 'rap', 'trap']",2017,1,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
167,Slide (feat. Frank Ocean & Migos),Calvin Harris,6gpcs5eMhJwax4mIfKDYQk,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",2017,1,0.498,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511
168,What Ifs (feat. Lauren Alaina),Kane Brown,7zVCrzzEJU7u24sbJPXA5W,"['contemporary country', 'country road']",2017,1,0.00898,0.612,188253,0.799,0.0,10,0.172,-4.603,1,0.0275,125.976,4,0.687
169,Chained To The Rhythm,Katy Perry,6520aj0B4FSKGVuKNsOCOi,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0733,0.448,237734,0.801,0.0,0,0.146,-5.363,1,0.165,189.798,4,0.462
170,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,5bcTCxgc7xVfSaMV3RuVke,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",2017,1,0.0642,0.893,223413,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,0.872
171,All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,['pop rap'],2017,1,0.0584,0.617,217603,0.567,0.0,0,0.0933,-4.188,1,0.0828,90.246,4,0.505
172,Hurricane,Luke Combs,6xHI9KjUjYT0FPtGO8Mxa1,['contemporary country'],2017,1,0.0153,0.464,222533,0.813,0.0,10,0.254,-6.185,1,0.0416,75.975,4,0.516
173,Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV,"['pop', 'post-teen pop', 'uk pop']",2017,1,0.64,0.681,201000,0.372,0.0,5,0.169,-8.237,1,0.0432,91.873,4,0.476
174,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,"['alternative r&b', 'pop']",2017,1,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
175,Magnolia,Playboi Carti,4gUQE7JiIwnQKde4RtKytB,"['atl hip hop', 'hip hop', 'rap', 'trap']",2017,1,0.0115,0.795,181812,0.584,0.0,11,0.52,-7.322,0,0.29,163.005,4,0.452
176,Love Galore (feat. Travis Scott),SZA,0q75NwOoFiARAVp4EXU4Bs,"['pop', 'pop rap', 'rap']",2017,1,0.111,0.795,275080,0.594,0.0,0,0.162,-6.2,1,0.0747,135.002,4,0.409
177,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,6Q2FftbUG530lCtBI74bMH,"['melodic rap', 'pop rap', 'rap', 'trap']",2017,1,0.501,0.839,209269,0.81,0.0,5,0.117,-5.274,0,0.0568,129.014,4,0.814
178,Starving,Hailee Steinfeld,2zDt2TfQbxiSPjTVJTgbwz,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.409,0.724,181880,0.628,0.0,4,0.105,-4.219,1,0.0962,99.898,4,0.524
179,Both (feat. Drake),Gucci Mane,5tFep7dXGd7vEJ668wTPux,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.119,0.85,190312,0.405,0.000118,7,0.0707,-7.509,0,0.225,139.976,4,0.344
180,What About Us,P!nk,31MkGwj0SWgZaTvEt5Hgxv,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0254,0.386,271520,0.594,3.03e-06,1,0.0873,-6.186,1,0.0565,113.843,4,0.187
181,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,6kex4EBAj0WHXDKZMEJaaF,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",2017,1,0.075,0.696,216409,0.817,0.0,1,0.187,-3.862,1,0.109,98.064,4,0.782
182,Slippery (feat. Gucci Mane),Migos,6p8NuHm8uCGnn2Dtbtf7zE,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2017,1,0.307,0.92,304041,0.674,0.0,1,0.104,-5.662,0,0.264,141.967,4,0.741
183,Sign of the Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN,"['pop', 'post-teen pop']",2017,1,0.0275,0.516,340707,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
184,Water Under The Bridge,Adele,7xfzwPasShmaPL7gB7va3J,"['british soul', 'pop', 'uk pop']",2017,1,0.0142,0.59,240439,0.833,5.35e-06,5,0.105,-6.503,0,0.0615,94.963,4,0.537
185,Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.0767,0.573,231907,0.781,2.64e-05,8,0.0813,-6.406,1,0.0555,139.934,4,0.343
186,Down,Marian Hill,2dqLk7ezV15LEJEwUmEbXB,['electropop'],2017,1,0.684,0.593,197773,0.362,0.00294,0,0.125,-14.701,0,0.273,169.998,4,0.0522
187,No Promises (feat. Demi Lovato),Cheat Codes,1louJpMmzEicAn7lzDalPW,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop edm', 'post-teen pop', 'tropical house']",2017,1,0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4,0.595
188,Treat You Better,Shawn Mendes,3AFfyUXTfj12PgrOkZiiJo,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2017,1,0.13,0.748,187973,0.819,0.0,10,0.111,-4.032,0,0.198,110.645,3,0.792
189,I Get the Bag (feat. Migos),Gucci Mane,1XRgIKC5TPwo7nWGyKqgG0,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.0232,0.89,233087,0.633,0.000343,11,0.0993,-5.475,1,0.168,139.948,4,0.425
190,Small Town Boy,Dustin Lynch,2YMhrXQYKkm4kXLcXKKd5z,"['contemporary country', 'country', 'country road', 'modern country rock']",2017,1,0.0251,0.554,205733,0.743,0.0,9,0.359,-6.016,1,0.0287,72.997,4,0.673
191,"Everyday We Lit (feat. PnB Rock, Lil Yachty & Wiz Khalifa) - Remix",YFN Lucci,2KtGuSoEszAKKjF7Yovhcg,"['atl hip hop', 'atl trap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",2017,1,0.13,0.746,236923,0.653,0.0,7,0.17,-4.691,1,0.0574,155.947,4,0.607
192,Havana,Camila Cabello,0ofbQMrRDsUaVKq2mGLEAb,"['dance pop', 'pop', 'post-teen pop']",2017,1,0.186,0.768,216897,0.517,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418
193,What Lovers Do (feat. SZA),Maroon 5,3hBBKuWJfxlIlnd9QFoC8k,"['pop', 'pop rock']",2017,1,0.0786,0.795,199849,0.615,2.98e-06,5,0.0855,-5.211,0,0.0671,110.009,4,0.393
194,do re mi (feat. Gucci Mane),blackbear,22Y3qQ0mtEPhmCosbdBaZ3,"['pop', 'pop rap']",2017,1,0.0058,0.739,233705,0.663,0.0,8,0.212,-6.331,1,0.0601,112.025,3,0.196
195,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18,"['emo rap', 'miami hip hop']",2017,1,0.259,0.763,126346,0.726,0.0,1,0.0976,-6.405,1,0.282,139.059,4,0.349
196,The Fighter,Keith Urban,4Iw8bM0BCRmrN778ZODnJa,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",2017,1,0.0224,0.681,184040,0.856,0.0,11,0.188,-5.166,0,0.0517,132.011,4,0.755
