Title,Artist,id,artist_genres,is_single,total_tracks,release_date,day_of_week,release_season,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,words_count,stopwords_count,blobs_polarity,words_neg_count,words_pos_count,words_curse_count,avg_most_common_words_size,words_repeat_count,words_negative_pct,words_positive_pct,words_curse_pct,words_repeat_pct,stopwords_pct
pillow talk,zayn malik,0PDUDa38GO8lMxLCRc4lL1,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",1,18,2016-03-25,5,1,2016,1,0.117,0.584,202747,0.7,0.0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438,1622.0,115,0,672,875,3,5.41,142,41.43,53.95,0.18,8.75,7.09
Stitches,Shawn Mendes,1WP1r7fuvRqZRnUaTi2I1Q,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",1,15,2015-04-13,1,1,2015,1,0.0152,0.746,206880,0.754,0.0,1,0.0486,-6.681,1,0.067,149.882,4,0.764,1832.0,124,0,672,150,0,5.19,171,36.68,8.19,0.0,9.33,6.77
Hotline Bling,Drake,2FBUoWkIuQXwayw2RNo5l6,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,20,2016-05-06,5,1,2016,1,0.0034700000000000004,0.903,267067,0.62,0.000119,2,0.0504,-8.094,1,0.0587,134.96,4,0.539,2112.0,155,0,600,900,2,5.41,221,28.41,42.61,0.09,10.46,7.34
Cold Water,Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",0,1,2016-07-22,5,2,2016,1,0.0736,0.608,185352,0.7979999999999999,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501,1216.0,77,0,600,225,0,5.41,103,49.34,18.5,0.0,8.47,6.33
Send My Love To Your New Lover,Adele,4BHzQ9C00ceJxfG16AlNWb,"['british soul', 'pop', 'uk pop']",1,11,2016-06-24,5,2,2016,1,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,1842.0,149,1,360,950,0,5.19,171,19.54,51.57,0.0,9.28,8.09
Roses,The Chainsmokers,3vv9phIu6Y1vX3jcqaGz5Z,"['electropop', 'pop', 'tropical house']",0,1,2015-06-16,2,2,2015,1,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343,1011.0,69,0,456,300,0,5.14,88,45.1,29.67,0.0,8.7,6.82
Treat You Better,Shawn Mendes,76t5B0ttSAje5KHmQbv88t,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",1,15,2016-09-23,5,3,2016,1,0.107,0.6829999999999999,187973,0.797,0.0,10,0.114,-4.085,0,0.246,82.916,4,0.758,1362.0,126,0,360,325,0,5.31,109,26.43,23.86,0.0,8.0,9.25
Too Good,Drake,11KJSRSgaDxqydKYiD2Jew,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,20,2016-05-06,5,1,2016,1,0.0573,0.804,263373,0.648,3.4899999999999995e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392,2459.0,169,1,288,575,0,5.53,208,11.71,23.38,0.0,8.46,6.87
Low Life,Future,7EiZI6JVHllARrX9PUvAdX,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,12,2016-04-13,3,1,2016,1,0.337,0.722,313547,0.331,0.28300000000000003,8,0.146,-7.789,1,0.0725,143.974,4,0.102,4137.0,204,0,552,550,28,5.53,439,13.34,13.29,0.68,10.61,4.93
What Do You Mean,Justin Bieber,3pzjHKrQSvXGHQ98dx18HI,"['canadian pop', 'pop', 'post-teen pop']",1,19,2015-11-13,5,3,2015,1,0.59,0.845,205680,0.5670000000000001,0.0014199999999999998,5,0.0811,-8.118,0,0.0956,125.02,4,0.7929999999999999,1933.0,171,0,960,275,0,5.49,182,49.66,14.23,0.0,9.42,8.85
The Hills,The Weeknd,25khomWgBVamSdKw7hzm3l,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,14,2015-08-28,5,2,2015,1,0.0861,0.35600000000000004,242253,0.5670000000000001,0.0,0,0.13699999999999998,-7.011,0,0.0798,135.553,5,0.109,2061.0,175,0,168,175,17,4.97,203,8.15,8.49,0.82,9.85,8.49
Just Like Fire,Pink,7K5dzhGda2vRTaAWYI3hrb,"['dance pop', 'pop', 'post-teen pop']",0,1,2016-04-15,5,1,2016,1,0.0114,0.632,215414,0.701,0.0,7,0.108,-5.921,1,0.146,162.958,4,0.4970000000000001,2178.0,162,0,336,675,0,5.36,182,15.43,30.99,0.0,8.36,7.44
Broccoli,DRAM,7yyRTcZmCiyzzJlNzGC9Ol,"['pop rap', 'rap', 'trap']",1,14,2016-10-21,5,3,2016,1,0.236,0.8859999999999999,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708,2712.0,189,0,312,350,25,5.36,258,11.5,12.91,0.92,9.51,6.97
Dont,Bryson Tiller,3pXF1nA74528Edde4of9CC,"['pop', 'pop rap', 'rap', 'trap']",1,14,2015-10-02,5,3,2015,1,0.222,0.765,198293,0.35600000000000004,0.0,11,0.0963,-5.556,0,0.196,97.001,4,0.19,1762.0,134,0,456,450,6,5.4,166,25.88,25.54,0.34,9.42,7.6
Dangerous Woman,Ariana Grande,2h1IPjP471JJRSShTHRUhi,"['dance pop', 'pop', 'post-teen pop']",1,15,2016-05-20,5,1,2016,1,0.0612,0.677,235947,0.604,0.0,7,0.353,-5.32,1,0.0385,134.05200000000002,3,0.297,1980.0,71,0,288,200,0,5.82,228,14.55,10.1,0.0,11.52,3.59
Jumpman,Drake,46gjYTEK7W8ZTABcglGP2f,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,11,2015-09-20,7,3,2015,1,0.0462,0.853,205879,0.5579999999999999,0.0,1,0.341,-7.447999999999999,1,0.202,142.079,4,0.654,2572.0,152,0,456,300,4,5.66,252,17.73,11.66,0.16,9.8,5.91
i hate u i love u,gnash,7vRriwrloYVaoAe3a9wJHe,"['pop', 'post-teen pop']",1,7,2016-03-25,5,1,2016,1,0.687,0.4920000000000001,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18,2569.0,170,0,1272,350,10,5.27,229,49.51,13.62,0.39,8.91,6.62
Here,Alessia Cara,664gdARxaClFsoF5SXKOws,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1,15,2016-03-11,5,1,2016,1,0.0785,0.376,199453,0.821,0.0,0,0.0823,-3.974,1,0.104,120.462,4,0.331,2143.0,142,0,456,375,0,5.71,187,21.28,17.5,0.0,8.73,6.63
Same Old Love,Selena Gomez,6ZANrVuAMp2rpjhfbOuJly,"['dance pop', 'pop', 'post-teen pop']",1,16,2015-10-09,5,3,2015,1,0.0223,0.672,229080,0.593,0.0,11,0.214,-4.01,0,0.0304,98.02,4,0.438,1667.0,156,0,1320,425,3,5.11,133,79.18,25.49,0.18,7.98,9.36
Controlla,Drake,6F609ICg9Spjrw1epsAnpa,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,20,2016-05-06,5,1,2016,1,0.0773,0.607,245227,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.34700000000000003,1965.0,108,0,408,200,0,5.12,195,20.76,10.18,0.0,9.92,5.5
Like Im Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",1,15,2015-01-09,5,4,2015,1,0.4,0.63,225053,0.53,0.0,0,0.177,-7.258999999999999,1,0.0434,108.038,3,0.417,1461.0,71,0,672,425,0,5.49,156,46.0,29.09,0.0,10.68,4.86
One Call Away,Charlie Puth,37R0bQOQj5a7DOqh1TGzvB,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",1,13,2016-01-29,5,4,2016,1,0.403,0.667,194453,0.613,0.0,1,0.115,-5.353,1,0.0344,91.024,4,0.47,1077.0,83,0,576,775,0,4.83,93,53.48,71.96,0.0,8.64,7.71
Let It Go,James Bay,3nnG7AM9QopHVPEuLX3Khk,"['neo mellow', 'pop', 'pop rock', 'uk pop']",1,12,2015-03-20,5,1,2015,1,0.818,0.546,260533,0.311,1.65e-05,1,0.107,-10.396,1,0.0288,147.464,4,0.246,1356.0,102,0,336,125,0,5.52,111,24.78,9.22,0.0,8.19,7.52
NO,Meghan Trainor,3ge54HUrk1ht3EX5SMhIzZ,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",1,15,2016-05-13,5,1,2016,1,0.0125,0.471,213507,0.802,1.45e-06,1,0.7020000000000001,-3.599,0,0.27,88.615,4,0.653,2634.0,229,0,960,325,0,5.38,170,36.45,12.34,0.0,6.45,8.69
Never Forget You,Zara Larsson,6WLS56xiRrXjSm9RSdL3zD,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']",0,1,2015-09-10,4,3,2015,1,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.99200000000005,4,0.276,2145.0,155,1,600,275,0,5.25,159,27.97,12.82,0.0,7.41,7.23
Let Me Love You,DJ Snake,4pdPtRcBmOSQDlJ3Fk945m,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop rap']",1,14,2016-08-05,5,2,2016,1,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,1490.0,94,1,624,175,2,5.5,120,41.88,11.74,0.13,8.05,6.31
Dont Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ,"['miami hip hop', 'viral trap']",0,1,2016-04-25,1,1,2016,1,0.0235,0.464,198237,0.7709999999999999,0.0,8,0.063,-4.503,1,0.336,158.77700000000004,4,0.69,2669.0,128,0,672,325,3,5.23,259,25.18,12.18,0.11,9.7,4.8
HOLY,Florida Georgia Line,6chK7QlDILELjoh0I98KpW,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",1,15,2016-08-26,5,2,2016,1,0.379,0.526,194187,0.675,0.0,7,0.0727,-3.989,0,0.0339,78.0,4,0.537,1300.0,72,1,240,300,0,5.36,151,18.46,23.08,0.0,11.62,5.54
We Dont Talk Anymore,Charlie Puth,06KyNuuMOX1ROXRhj787tj,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",1,13,2016-01-29,5,4,2016,1,0.621,0.728,217707,0.563,0.0,1,0.179,-8.052999999999999,0,0.134,100.017,4,0.35200000000000004,2069.0,135,0,456,575,0,4.95,216,22.04,27.79,0.0,10.44,6.52
Into You,Ariana Grande,7yHEDfrJNd0zWOfXwydNH0,"['dance pop', 'pop', 'post-teen pop']",1,15,2016-05-20,5,1,2016,1,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358,2183.0,95,0,216,400,0,5.15,204,9.89,18.32,0.0,9.34,4.35
Gold,Kiiara,6ZSO7kPn8IMJFymyticbJO,"['electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop']",0,6,2016-03-22,2,1,2016,1,0.615,0.6,225882,0.412,0.0025,8,0.134,-9.343,1,0.344,113.049,5,0.408,2788.0,220,1,1656,1050,0,5.3,289,59.4,37.66,0.0,10.37,7.89
Exchange,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN,"['pop', 'pop rap', 'rap', 'trap']",1,14,2015-10-02,5,3,2015,1,0.108,0.53,194613,0.433,0.0,6,0.135,-10.598,1,0.185,160.14,4,0.274,1880.0,160,0,360,275,5,5.49,152,19.15,14.63,0.27,8.09,8.51
679,Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0,1,2015-06-29,1,2,2015,1,0.00256,0.618,196693,0.7170000000000001,0.0,7,0.625,-5.738,1,0.318,190.05,4,0.603,2100.0,56,0,192,625,12,5.68,221,9.14,29.76,0.57,10.52,2.67
oui,Jeremih,4sw7dHjD6EsGs0d57AHgdy,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",1,15,2015-12-04,5,4,2015,1,0.203,0.41,238320,0.726,0.0,5,0.107,-3.845,1,0.15,77.226,5,0.552,1811.0,130,0,216,200,1,5.07,135,11.93,11.04,0.06,7.45,7.18
Hands To Myself,Selena Gomez,3CJvmtWw2bJsudbAC5uCQk,"['dance pop', 'pop', 'post-teen pop']",1,16,2015-10-09,5,3,2015,1,0.0147,0.8109999999999999,200680,0.499,2.44e-06,5,0.342,-7.1610000000000005,0,0.118,111.016,4,0.466,1449.0,99,0,288,175,0,5.1,149,19.88,12.08,0.0,10.28,6.83
2 Phones,Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,17,2016-01-29,5,4,2016,1,0.157,0.895,240000,0.6809999999999999,0.0,7,0.189,-5.267,0,0.358,121.918,4,0.5539999999999999,3696.0,226,0,312,1875,11,5.65,347,8.44,50.73,0.3,9.39,6.11
Starboy,The Weeknd,5aAx2yezTd8zXrkmtKl66Z,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,18,2016-11-25,5,3,2016,1,0.165,0.6809999999999999,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,2197.0,149,0,360,450,13,5.15,219,16.39,20.48,0.59,9.97,6.78
For Free,DJ Khaled,0lDBERpbbSfh3og8dSszfj,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",0,1,2016-06-03,5,2,2016,1,0.0173,0.916,183695,0.5710000000000001,1.11e-06,10,0.153,-8.241,0,0.2,103.521,4,0.498,1991.0,148,0,672,1025,6,5.2,164,33.75,51.48,0.3,8.24,7.43
Never Be Like You,Flume,15O20RQyWJgKrkHID9ynT9,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'pop']",1,16,2016-05-27,5,1,2016,1,0.441,0.443,233337,0.5579999999999999,0.0,0,0.163,-5.436,1,0.0624,116.838,4,0.248,1734.0,104,0,552,325,16,5.38,179,31.83,18.74,0.92,10.32,6.0
In The Night,The Weeknd,7fPHfBCyKE3aVCBjE4DAvl,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,14,2015-08-28,5,2,2015,1,0.0696,0.48,235653,0.682,0.0,7,0.0463,-4.94,1,0.13,167.93900000000005,3,0.506,1607.0,114,0,408,275,6,5.63,163,25.39,17.11,0.37,10.14,7.09
Me Too,Meghan Trainor,1m4dXbkplvaOO4Wbdjbwxs,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",1,15,2016-05-13,5,1,2016,1,0.0963,0.934,181240,0.6940000000000001,1.21e-06,11,0.479,-5.849,0,0.1,123.822,4,0.835,1370.0,91,0,192,75,3,4.96,106,14.01,5.47,0.22,7.74,6.64
Exs & Ohs,Elle King,70eDxAyAraNTiD6lx2ZEnH,[],1,12,2015-02-13,5,4,2015,1,0.0183,0.612,202173,0.921,0.0,7,0.0576,-2.879,1,0.0848,139.986,4,0.453,1551.0,104,0,168,250,0,5.35,129,10.83,16.12,0.0,8.32,6.71
Die A Happy Man,Thomas Rhett,6uTb5oNK9RkTjxmh73W7MG,"['contemporary country', 'country', 'country road', 'modern country rock']",1,13,2015-01-01,4,4,2015,1,0.418,0.595,227427,0.389,1.39e-06,2,0.116,-9.245,1,0.0349,166.05200000000005,4,0.4,1416.0,102,1,408,450,0,5.41,136,28.81,31.78,0.0,9.6,7.2
White Iverson,Post Malone,1Bi5t0q9j3nYXIZuZgSGvr,"['dfw rap', 'melodic rap', 'rap']",1,14,2016-12-09,5,4,2016,1,0.221,0.677,256533,0.5770000000000001,0.0,7,0.0776,-7.671,1,0.0355,130.05,4,0.329,2015.0,122,0,360,275,11,5.34,198,17.87,13.65,0.55,9.83,6.05
Close,Nick Jonas,2wJhFcye5iiW2mVBpGednz,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",1,18,2016-06-10,5,2,2016,1,0.253,0.653,234213,0.623,0.0,6,0.14400000000000002,-5.273,0,0.08199999999999999,123.999,4,0.401,1708.0,105,0,1104,350,6,5.33,172,64.64,20.49,0.35,10.07,6.15
Unsteady,X Ambassadors,6cSsWi1c3ewIEmbqdUWsUM,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']",1,20,2015-06-30,2,2,2015,1,0.175,0.376,193546,0.662,0.000691,0,0.203,-6.124,1,0.057,107.209,4,0.236,807.0,30,0,576,100,0,4.93,99,71.38,12.39,0.0,12.27,3.72
Sucker For Pain,Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0,1,2016-06-24,5,2,2016,1,0.255,0.502,243491,0.7859999999999999,0.0,9,0.65,-4.378,0,0.317,169.021,4,0.7390000000000001,2949.0,224,0,1056,400,1,5.55,266,35.81,13.56,0.03,9.02,7.6
Down In the DM,Yo Gotti,5w1vhNA2OEWUQ371QzyMmM,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,15,2016-02-19,5,4,2016,1,0.00243,0.7909999999999999,259072,0.634,5.4299999999999985e-05,1,0.0812,-7.684,0,0.0639,152.961,4,0.32299999999999995,1771.0,190,0,240,225,5,5.22,112,13.55,12.7,0.28,6.32,10.73
LUV,Tory Lanez,5eG6cZTO4G5hFcnjyGR1ao,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",1,28,2016-08-19,5,2,2016,1,0.0118,0.688,228640,0.541,0.0,11,0.123,-8.128,0,0.114,95.109,4,0.247,2208.0,172,1,312,725,1,4.92,175,14.13,32.84,0.05,7.93,7.79
Cant Feel My Face,The Weeknd,6RsWqX8zABZLhZydXxEFOm,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,14,2015-08-28,5,2,2015,1,0.124,0.7020000000000001,213520,0.77,0.0,9,0.103,-5.416,0,0.0482,107.951,4,0.593,1385.0,111,0,504,325,4,4.9,122,36.39,23.47,0.29,8.81,8.01
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,"['permanent wave', 'pop']",1,11,2015-12-04,5,4,2015,1,0.255,0.49,258827,0.743,7.21e-06,0,0.3,-5.155,0,0.0409,89.97399999999998,4,0.363,1548.0,102,0,168,250,0,5.13,158,10.85,16.15,0.0,10.21,6.59
Say It,Tory Lanez,70WRVxQNMSM0BvhqxcYj0J,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",1,28,2016-08-19,5,2,2016,1,0.0834,0.384,237787,0.517,1.41e-05,4,0.129,-10.574000000000002,0,0.0708,107.262,4,0.229,2692.0,248,0,960,1050,7,4.83,210,35.66,39.0,0.26,7.8,9.21
Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq,['rap'],1,16,2015-09-04,5,3,2015,1,0.0076700000000000015,0.713,262693,0.526,0.000148,1,0.124,-5.046,1,0.032,131.05,4,0.131,2367.0,176,0,504,525,11,5.56,228,21.29,22.18,0.46,9.63,7.44
Lost Boy,Ruth B,4h0zU3O9R5xzuTmNO7dNDU,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0,1,2015-08-21,5,2,2015,1,0.965,0.71,275280,0.0565,0.0,7,0.0889,-15.099,1,0.0534,123.994,4,0.348,2098.0,154,0,456,475,0,5.54,199,21.73,22.64,0.0,9.49,7.34
